ApplicationID,SubmissionID,ApplicantRole,AssociationCooperativeOwner,AddressNumber,StreetDirection,StreetName,StreetType,NumberofUnits,PIN,VoteDate,RecordedDate,SignedDate,Latitude,Longitude,Location,CommunityAreas,ZipCodes,Boundaries-ZIPCodes,CensusTracts,Wards
2501,PB2019A02501,Lavinia Shimkus,,321-3221,W,Division,ST,12,16022280310000,,03/28/2019,03/28/2019,41.90370717,-87.63685816,"(41.90370717350963, -87.6368581574267)",37,14926,54,148,46
2500,PB2019A02500,Lavinia Shimkus,,2525,W,Arthur,AVE,7,10-36-429-001-0000,,03/28/2019,03/28/2019,41.99937319,-87.6934439,"(41.99937319079902, -87.69344389805123)",20,22528,12,41,27
2499,PB2019A02499,Lavinia Shimkus,,2453,W,Arthur,AVE,4,10-36-430-001-0000,,03/28/2019,03/28/2019,41.99939802,-87.69205453,"(41.99939802306425, -87.69205453315146)",20,22528,12,41,27
2498,PB2019A02498,Lavinia Shimkus,,2439,W,Carmen,AVE,3,13-12-407-019-0000,,03/28/2019,03/28/2019,41.97396186,-87.69062915,"(41.97396186091787, -87.69062914653863)",6,21849,20,28,24
2497,PB2019A02497,Lavinia Shimkus,,1625,W,Morse,AVE,6,11-31-222-015-0000,,03/28/2019,03/28/2019,42.00771191,-87.67103888,"(42.007711913921874, -87.67103887870928)",10,21853,9,49,5
2496,PB2019A02496,Authorized Agent,Westward Management,1735-1737,W,Division,ST,12,17-06-405-027-0000,03/21/2019,03/28/2019,03/28/2019,41.90317507,-87.67122437,"(41.90317506458403, -87.67122436901211)",25,21560,4,518,41
2495,PB2019A02495,Lavinia Shimkus,,6830-6834,N,Ashland,BLVD,18,11-31-226-041-0000,,03/28/2019,03/28/2019,42.00632001,-87.67012826,"(42.00632001138462, -87.67012826102)",10,21853,9,49,5
2494,PB2019A02494,Lavinia Shimkus,,5014-5016,N,Harding,AVE,7,13-11-305-022-0000,,03/28/2019,03/28/2019,41.97234172,-87.72707905,"(41.972341720737205, -87.72707904758396)",14,21849,20,127,38
2493,PB2019A02493,Lavinia Shimkus,,6330,N,Rockwell,ST,4,13-01-203-027-0000,,03/28/2019,03/28/2019,41.99671446,-87.69487716,"(41.99671446379393, -87.6948771572189)",20,4450,50,31,27
2490,PB2019A02490,Community Manager,,320,W,Illinois,ST,400,17-09-243-022-0000,,03/22/2019,03/22/2019,41.89086144,-87.63650372,"(41.890861437494806, -87.6365037161463)",37,4446,55,652,36
2488,PB2019A02488,Property Manager,,175,N,Harbor,DR,600,17-10-401-007-0000,,03/22/2019,03/22/2019,41.88566389,-87.61562501,"(41.88566389201629, -87.61562500794805)",38,14309,42,580,36
2487,PB2019A02487,Condominium Board President,Gotham Lofts Condominium Association,417,S,Jefferson,ST,187,17-16-127-11-1001 up to and including 17-16-127-011-1188,03/23/2016,03/18/2019,03/18/2019,41.87624312,-87.64233596,"(41.876243116741634, -87.64233595913396)",29,14917,44,97,26
2486,PB2019A02486,Condominium Board President,Gotham Lofts Condominium Association,420,S,Clinton,ST,187,17-16-127-011-1001 up to and including 17-16-011-1188,03/23/2016,03/18/2019,03/18/2019,41.87614862,-87.64115249,"(41.8761486157241, -87.64115248853541)",29,14917,44,97,26
2485,PB2019A02485,President,2140 W. North Condominium Association,2140,W,North,AVE,4,14-31-331-015-0000,,03/18/2019,03/18/2019,41.91051747,-87.68157319,"(41.91051746752038, -87.68157318494691)",25,22535,1,298,11
2484,PB2019A02484,authorized agent,Parkside of Old Town Townhome Leasehold Condo Assoc,1151,N,Hudson,AVE,56,17-04-305-058-4001-4056,12/19/2018,03/15/2019,03/15/2019,41.90293517,-87.63998064,"(41.90293516679095, -87.63998064077809)",37,14926,54,148,46
2483,PB2019A02483,authorized agent,Parkside of Old Town Townhome Leasehold Condo Assoc,1142-1154,N,Hudson,AVE,56,17-04-305-058-4001-4056,12/19/2018,03/15/2019,03/15/2019,41.90274301,-87.64026644,"(41.9027430115405, -87.640266444403)",37,14926,54,148,46
2482,PB2019A02482,authorized agent,Parkside of Old Town Townhome Leasehold Condo Assoc,420-514,W,Elm,ST,56,17-04-305-058-4001-4056,12/19/2018,03/15/2019,03/15/2019,41.90282348,-87.63938136,"(41.90282348107271, -87.6393813545777)",37,14926,54,148,46
2481,PB2019A02481,authorized agent,Parkside of Old Town Townhome Leasehold Condo Assoc,1152,N,Cleveland,AVE,56,17-04-305-058-4001-4056,12/19/2018,03/15/2019,03/15/2019,41.90304247,-87.64133902,"(41.903042472640024, -87.64133902125552)",37,14926,54,148,46
2480,PB2019A02480,authorized agent,Parkside of Old Town Townhome Leasehold Condo Assoc,1141-1153,N,Cambridge,AVE,56,17-04-305-058-4001-4056,12/19/2018,03/15/2019,03/15/2019,41.90274186,-87.64202734,"(41.902741859175, -87.64202734227284)",37,14926,54,148,46
2479,PB2019A02479,Co-President,818-820 Webster Condo Assoc,818-820,W,Webster,AVE,6,14-32-212-044-1006,,03/14/2019,03/14/2019,41.92191459,-87.64945496,"(41.92191459309887, -87.64945496044511)",68,21190,16,744,34
2478,PB2019A02478,Board President,55 W Erie Condominium a/k/a Town Retreat III HOA,55,W,Erie,ST,9,17-09-226-015-1001 thru 1009,03/06/2019,03/06/2019,03/06/2019,41.89393553,-87.63022824,"(41.89393553363733, -87.63022823951569)",37,4446,55,670,36
2477,PB2019A02477,Secretary,1456 N Greenview Condo Association,1456,N,Greenview,AVE,5,"17-05-108-025-0000,  17-05-108-026-0000",,03/05/2019,03/05/2019,41.90869311,-87.66534309,"(41.908693104905, -87.66534308864117)",25,22620,49,483,11
2476,PB2019A02476,Property Manager,,311,W,Illinois,ST,245,"17-09-250-003-0000, 17-09-250-004-0000, 17-09-250-005-0000, 17-09-250-006-0000",,02/28/2019,02/28/2019,41.8906484,-87.63606049,"(41.89064840088341, -87.63606049033126)",37,4446,55,652,36
2475,PB2019A02475,Registered Agent,Sanderson Condominium Association,6304-6306,N,Wayne,AVE,8,14-05-104-027,,02/27/2019,02/27/2019,41.99654001,-87.66430799,"(41.99654001035363, -87.66430798503704)",76,4451,14,536,16
2474,PB2019A02474,agent,Pratt du Lac Condominium,1136-1144,W,Pratt,BLVD,47,11-32-202-028-1000,,02/27/2019,02/27/2019,42.00566236,-87.66006563,"(42.005662363806564, -87.66006563230559)",10,21853,9,267,5
2473,PB2019A02473,HOA President,Mckinley Square Townhomes 2 Association,3515-3519,S,Maplewood,AVE,18,See attached document,,02/25/2019,02/25/2019,41.82972548,-87.68855807,"(41.82972548015211, -87.68855806620786)",55,22248,56,638,1
2469,PB2019A02469,authorized agent,Montrose and Clarendon LLC DBA Eight Eight Eleven Uptown,811,W,Agatite,AVE,381,14-17-229-008-0000,,02/21/2019,02/21/2019,41.96263002,-87.65043043,"(41.962630018961406, -87.65043042896384)",31,22616,15,20,39
2466,PB2019A02466,authorized agent,Old Town Village West Condo Association,1101-1117,N,Crosby,ST,126,17-04-302-055-1001-1126,01/25/2018,01/25/2019,01/25/2019,41.90151564,-87.64468769,"(41.90151563569373, -87.64468768777704)",37,14926,54,108,46
2465,PB2019A02465,authorized agent,Old Town Village West Condo Association,635-653,W,Elm,ST,126,17-04-302-055-1001-1126,01/25/2018,01/25/2019,01/25/2019,41.90251899,-87.64449969,"(41.90251898971001, -87.6444996862275)",37,14926,54,108,46
2464,PB2019A02464,authorized agent,Old Town Village West Condo Association,1144-1158,N,Howe,ST,126,17-04-302-055-1001-1126,01/25/2018,01/25/2019,01/25/2019,41.90267769,-87.64459171,"(41.90267768887817, -87.64459171125895)",37,14926,54,108,46
2463,PB2019A02463,authorized agent,Old Town Village West Condo Association,635-671,W,Division,ST,126,17-04-302-055-1001-1126,,01/25/2019,01/25/2019,41.90358429,-87.64455826,"(41.90358428706926, -87.64455826418002)",37,14926,54,108,46
2447,PB2019A02447,Property Manager,The 3150 Condominium Association,3150,N,lake shore,DR,203,14-28-200-004-1001 through 14-28-200-004-1159 and 14-28-200-004 through 14-28-200-004-1203,12/21/2018,01/21/2019,01/21/2019,41.93895291,-87.63815992,"(41.938952908050794, -87.63815991563948)",57,4449,22,683,25
2444,PB2018A02444,Board President,613 N Racine Ave Condominiums,613,N,Racine,AVE,5,17-08-228-006-0000,,12/28/2018,12/28/2018,41.89266134,-87.65727736,"(41.89266134356627, -87.65727735833632)",25,22620,49,522,46
2443,PB2018A02443,Property Manager,59-65 East Cedar Street Condominium Association,59-65,E,Cedar,ST,28,17-03-202-067-1001 through 1032,,12/10/2018,12/10/2018,41.90230005,-87.62600887,"(41.9023000449741, -87.62600887133401)",37,21182,6,105,36
2442,PB2018A02442,Registered Agent,Webster Square Condo Association,1013,W,Webster,AVE,7,14-32-216-005-0000,10/22/2018,12/08/2018,12/08/2018,41.92161984,-87.65405059,"(41.92161984057171, -87.65405058579164)",68,21190,16,797,34
2439,PB2018A02439,Owner,,1423,N,Cleaver,ST,5,17-05-110-015-0000,,11/19/2018,11/19/2018,41.90775293,-87.66381397,"(41.90775292496457, -87.66381397373128)",25,22620,49,483,11
2438,PB2018A02438,Owner,,921-923,N,Sacramento,BLVD,6,16-01-314-003-0000,,11/19/2018,11/19/2018,41.89886013,-87.70230961,"(41.89886013400824, -87.70230961288011)",24,21560,4,150,49
2437,PB2018A02437,Owner,,1457,N,California,AVE,5,16-01-208-001-0000,,11/19/2018,11/19/2018,41.90825087,-87.69686272,"(41.90825086860221, -87.69686271464515)",25,21560,4,288,41
2436,PB2018A02436,Owner,,2541-2543,W,Belden,AVE,6,13-36-212-001-0000,,11/19/2018,11/19/2018,41.9231493,-87.69103046,"(41.92314930246281, -87.69103046071118)",23,22535,1,323,41
2435,PB2018A02435,Owner,,947-953,N,Kedzie,AVE,6,16-01-313-001-0000,,11/19/2018,11/19/2018,41.89882199,-87.7065152,"(41.89882198951364, -87.7065152003875)",24,21560,4,150,49
2434,PB2018A02434,Owner,,2631,W,Augusta,BLVD,6,16-01-418-009-0000,,11/19/2018,11/19/2018,41.89921021,-87.6931321,"(41.89921020610814, -87.69313209922575)",25,21560,4,543,49
2429,PB2018A02429,Owner,,2651,W,Thomas,ST,6,16-01-409-003-0000,,11/19/2018,11/19/2018,41.90102296,-87.69393946,"(41.90102296350795, -87.69393945476875)",25,21560,4,543,41
2428,PB2018A02428,Owner,,1311,N,Maplewood,AVE,6,16-01-219-017-0000,,11/19/2018,11/19/2018,41.90518522,-87.6906283,"(41.90518521526775, -87.69062829496043)",25,21560,4,302,49
2423,PB2018A02423,Owner,,1333,S,California,BLVD,6,16-24-206-024-0000,,11/19/2018,11/19/2018,41.86370419,-87.69567917,"(41.86370418762545, -87.69567916474941)",30,14920,43,16,23
2422,PB2018A02422,Owner,,1535,N,Bosworth,AVE,6,17-05-101-017-0000,,11/19/2018,11/19/2018,41.90988522,-87.66630473,"(41.90988521785894, -87.66630472961661)",25,22620,49,483,11
2417,PB2018A02417,Owner,,862,N,Ashland,AVE,5,17-06-432-026-0000,,11/19/2018,11/19/2018,41.89782249,-87.66748704,"(41.89782248642511, -87.66748703923291)",25,21560,4,518,41
2416,PB2018A02416,President,Kenwood Gateway,1410-1422,E,48th,ST,1,20-11-206-069-0000; 2011-206-070-0000; 20-11-206-071-0000; 20-11-206-073-0000;20-11-206-074-0000; 20-11-206-075-0000,,11/12/2018,11/12/2018,41.80799382,-87.59141673,"(41.80799382081038, -87.59141672623272)",5,21192,10,400,10
2415,PB2018A02415,President,3738 Clifton Condominiums,3738,N,Clifton,AVE,3,14202150531000,,11/12/2018,11/12/2018,41.95014178,-87.65768996,"(41.950141775194886, -87.65768995691155)",57,21186,53,691,25
2414,PB2018A02414,Owner,,2149-2153,N,Campbell,AVE,6,13-36-224-001-0000,,11/11/2018,11/11/2018,41.92134717,-87.68913808,"(41.921347167619615, -87.68913807723968)",23,22535,1,323,41
2413,PB2018A02413,President,2427-2429 N Clybourn THA,2427-2429,N,Clybourn,AVE,14,14-30-409-080-0000 to 14-30-409-093-0000,,11/05/2018,11/05/2018,41.92585967,-87.67010422,"(41.925859666900614, -87.67010421915487)",68,21190,16,743,40
2412,PB2018A02412,Owner,,1453,W,THOMAS,ST,6,17-05-308-033-0000,,10/18/2018,10/18/2018,41.90146408,-87.66457484,"(41.901464077038106, -87.66457484122165)",25,22620,49,484,11
2411,PB2018A02411,Property Manager,Emerald Condominium Association,123-125,S,Green,ST,213,17-17-215-024-0000,,10/16/2018,10/16/2018,41.87974722,-87.64832178,"(41.87974721852165, -87.6483217842422)",29,14917,44,91,46
2410,PB2018A02410,Chief Financial Officer,,841-845,W,Oakdale,AVE,63,14-29-204-034-0000,,10/12/2018,10/12/2018,41.93531516,-87.65072916,"(41.93531516225378, -87.65072915612394)",57,4449,22,681,25
2409,PB2018A02409,Chief Financial Officer,,3158-3180,N,Clark,ST,63,14-29-204-034-0000,,10/12/2018,10/12/2018,41.9392001,-87.65023896,"(41.93920010207087, -87.65023895855697)",57,4449,22,681,25
2408,PB2018A02408,Chief Financial Officer,,842-846,W,Fletcher,ST,63,14-29-204-034-0000,,10/12/2018,10/12/2018,41.93910463,-87.65085816,"(41.93910462483157, -87.6508581630905)",57,4449,22,681,25
2407,PB2018A02407,Chief Financial Officer,,841-845,W,Belmont,AVE,63,14-29-204-033-0000,,10/12/2018,10/12/2018,41.9398488,-87.65087973,"(41.93984879548587, -87.65087972590133)",57,4449,22,681,25
2401,PB2018A02401,Chief Financial Officer,,2932-2942,N,Clark,ST,25,14-28-110-015-0000,,10/12/2018,10/12/2018,41.93565566,-87.64737148,"(41.9356556595917, -87.64737148062177)",57,4449,22,684,25
2400,PB2018A02400,Chief Financial Officer,,708-710,W,Oakdale,AVE,25,14-28-110-015-0000,,10/12/2018,10/12/2018,41.935714,-87.64761218,"(41.93571399586921, -87.64761218041882)",57,4449,22,684,25
2399,PB2018A02399,Chief Financial Officer,,2815-2825,N,Sheffield,AVE,47,14-29-229-001-0000,,10/12/2018,10/12/2018,41.93312582,-87.65372918,"(41.93312581624315, -87.65372917855485)",57,21190,22,681,25
2397,PB2018A02397,Chief Financial Officer,,1053-1057,W,Belmont,AVE,24,14-29-202-039-0000,,10/12/2018,10/12/2018,41.93976839,-87.65622073,"(41.939768387153045, -87.6562207246118)",57,4449,22,680,25
2395,PB2018A02395,Chief Financial Officer,,3157-3159,N,Seminary,AVE,24,14-21-202-039-0000,,10/12/2018,10/12/2018,41.93972869,-87.65638492,"(41.939728689443484, -87.65638492084737)",57,4449,22,680,25
2394,PB2018A02394,Chief Financial Officer,,3005-3011,N,Halsted,ST,20,12-28-106-077-0000,,10/12/2018,10/12/2018,41.93656764,-87.64900137,"(41.93656764050725, -87.64900137328868)",57,4449,22,682,25
2392,PB2018A02392,Chief Financial Officer,,1301,W,Fletcher,ST,77,14-29-106-018-0000,,10/12/2018,10/12/2018,41.93878113,-87.66137904,"(41.93878113177816, -87.66137903548447)",57,4449,22,679,40
2391,PB2018A02391,Chief Financial Officer,,650-652,W,Waveland,AVE,14,14-21-106-011-0000,,10/10/2018,10/10/2018,41.94992609,-87.64646917,"(41.94992609150998, -87.64646917046505)",57,21186,53,726,39
2389,PB2018A02389,Chief Financial Officer,,754-756,W,Wellington,AVE,20,14-28-106-007-0000,,10/10/2018,10/10/2018,41.93650026,-87.64892751,"(41.936500263308446, -87.64892750557354)",57,4449,22,682,25
2388,PB2018A02388,Chief Financial Officer,,3900,N,Damen,AVE,34,14-19-107-024-0000,,10/10/2018,10/10/2018,41.95242046,-87.67885306,"(41.95242045582469, -87.67885306112908)",46,21538,39,613,18
2387,PB2018A02387,Chief Financial Officer,,701,W,Buckingham,PL,17,14-21-309-011-0000,,10/10/2018,10/10/2018,41.94263043,-87.64714871,"(41.9426304339287, -87.64714870869042)",57,4449,22,730,25
2386,PB2018A02386,Chief Financial Officer,,608-614,W,Belmont,AVE,24,14-21-313-044-0000,,10/10/2018,10/10/2018,41.94014606,-87.64479996,"(41.94014606141249, -87.64479995536213)",57,4449,22,730,25
2385,PB2018A02385,Property Manager,1620 S. Michigan Ave Condo Association,1620,S,Michigan,AVE,249,17-22-301-065-1001 through 1459,,10/09/2018,10/09/2018,41.85964086,-87.62412018,"(41.85964085466748, -87.62412017840215)",34,21194,40,374,9
2384,PB2018A02384,Property Manager,Vue20 Condo Association,1845,S,Michigan,AVE,138,17-22-307-106-1001 through 1269,,10/09/2018,10/09/2018,41.85667956,-87.62375958,"(41.85667956058355, -87.62375957722071)",34,21194,40,374,9
2382,PB2018A02382,authorized agent,One East 15th Place Condominium,1529,S,State,ST,143,17-22-106-093-1001-1297,09/26/2017,10/09/2018,10/09/2018,41.86107812,-87.62712403,"(41.86107812296756, -87.62712402454996)",34,14913,35,374,9
2381,PB2018A02381,Owner,,2735-2737,W,Augusta,BLVD,13,16-01-416-009-0000,,10/07/2018,10/07/2018,41.89917806,-87.69570513,"(41.899178061152185, -87.69570513051744)",25,21560,4,543,49
2378,PB2018A02378,President,1819 S Michigan Ave Condo Association,1819,S,Michigan,AVE,94,17-22-307-121,,10/03/2018,10/03/2018,41.85735158,-87.62377387,"(41.85735157880852, -87.6237738725254)",34,21194,40,374,9
2377,PB2018A02377,Community Manager,Elmdale Avenue Condominiums,1425-1431,W,Elmdale,AVE,26,14053010311001-14053010311026,08/23/2018,10/03/2018,10/03/2018,41.99073564,-87.66619082,"(41.99073563667111, -87.6661908188281)",76,4451,14,539,16
2374,PB2018A02374,Property Manager,Quinn and 31st Street Condominium Association,838,W,31st,ST,24,17-29-426-122-1006  --  17-29-426-122-1058,09/18/2017,10/01/2018,10/01/2018,41.83813193,-87.64793727,"(41.83813192958627, -87.64793726598171)",58,14920,43,59,48
2373,PB2018A02373,Property Manager,475 West 24th Street Condominium Association,475,W,24th,ST,36,17-28-115-046-1001  --  17-28-115-046-1075,07/19/2018,10/01/2018,10/01/2018,41.84894214,-87.63977228,"(41.84894213935867, -87.63977228005614)",35,21194,40,3,48
2372,PB2018A02372,Secretary,The 5014 North Kenmore Condominium Association,5014,N,Kenmore,AVE,6,14-08-405-035-0000,09/24/2018,09/29/2018,09/29/2018,41.97377638,-87.65649135,"(41.973776379194845, -87.65649134995166)",31,22616,15,634,16
2369,PB2018A02369,Community Manager,Parvenu Condominium Association,1000,W,Leland,AVE,74,14172030241001-14172030241228,06/27/2018,09/25/2018,09/25/2018,41.96737638,-87.65488214,"(41.967376374710284, -87.65488213481332)",31,22616,15,241,39
2368,PB2018A02368,Property Manager,Lakefront Place Condominium Association,6730,S,South Shore,DR,91,20-20-406-027-1001     --    20-20-406-027-1901,07/17/2018,09/22/2018,09/22/2018,41.77262719,-87.56676654,"(41.77262718696298, -87.56676653959914)",39,22538,24,134,33
2367,PB2018A02367,Property Manager,Avenue East Condominium Association,160,E,Illinois,ST,135,17-10-126-011-1001 thru 1135,,09/21/2018,09/21/2018,41.89106418,-87.62291793,"(41.891064178115734, -87.62291792491408)",37,21182,6,159,36
2366,PB2018A02366,Treasurer,1918 S Michigan Lofts Condo Association,1918,S,Michigan,AVE,32,17223060501001,08/31/2018,09/17/2018,09/17/2018,41.8560506,-87.62403663,"(41.85605060008972, -87.62403662758157)",34,21194,40,374,9
2364,PB2018A02364,property manager,McKinley Park Condo Association,2323,W,Pershing,RD,163,20-06-100-123-1001-1163,,09/05/2018,09/05/2018,41.82289773,-87.68341692,"(41.82289773134803, -87.68341692140602)",59,14924,37,706,1
2363,PB2018A02363,Property Manager,Ohio West Lofts Condominium Association,2401,W,Ohio,ST,21,16-12-218-042-1001 to 1027,08/17/2018,08/26/2018,08/26/2018,41.89199962,-87.68679776,"(41.89199961930338, -87.68679776319325)",25,21184,28,545,49
2361,PB2018A02361,"Property Manager, Draper and Kramer Inc.",One E. 14th Place Condominium Association,5,E,14TH,PL,102,17-22-106-014,,08/16/2018,08/16/2018,41.86230383,-87.62705536,"(41.86230382993038, -87.62705535957109)",34,14913,35,374,9
2358,PB2018A02358,Board President,Eliot House Condominium Association,1255,N,Sandburg,TER,324,04-222-062-1001 - 17-04-222-062-1327,,08/13/2018,08/13/2018,41.90555929,-87.63200845,"(41.905559285994315, -87.63200845108385)",37,14926,54,17,11
2356,PB2018A02356,President of Management Agency and Association Board,2814 West North Avenue Condominiums,2814,W,North,AVE,8,"13-36-331-055-1001 (and -1002, -1003, -1004, -1005, -1006, -1007, and -1008)",06/20/2018,08/09/2018,08/09/2018,41.91032122,-87.69770223,"(41.91032122272876, -87.69770223117031)",25,22535,1,300,41
2355,PB2018A02355,President,The 2349 North Elston Condominium,2349,N,Elston,CT,3,14312000481002,,08/09/2018,08/09/2018,41.92439809,-87.67630807,"(41.92439809123998, -87.67630806801004)",23,21190,16,209,40
2352,PB2018A02352,Secretary of 2708-2712 N Ashland Condo Asoc,2708-2712 N Ashland Ave Condo Association,2708-2712,N,Ashland,AVE,6,14-30-40-50-75-10-08,,08/04/2018,08/04/2018,41.93095738,-87.66849652,"(41.93095738040266, -87.66849651772937)",68,21190,16,743,40
2351,PB2018A02351,HOA Board President,Base 16 Lofts Condominium Association,1600,S,Jefferson,ST,25,17-21-305-046-1001,12/19/2017,08/03/2018,08/03/2018,41.85991762,-87.64208493,"(41.859917618142994, -87.6420849307566)",33,21194,40,249,48
2347,PB2018A02347,property manager,Townhomes of Vernon Park Place,701,S,Carpenter,ST,49,17-17-412-044-1001-1049,,07/30/2018,07/30/2018,41.87301905,-87.653121,"(41.87301904628543, -87.6531210022825)",29,14917,44,87,26
2346,PB2018A02346,property manager,Townhomes of Vernon Park Place,1033,W,Vernon Park,PL,49,17-17-412-044-1001-1049,,07/30/2018,07/30/2018,41.87293234,-87.65250006,"(41.872932335033724, -87.65250006243717)",29,14917,44,87,48
2345,PB2018A02345,property manager,Townhomes of Vernon Park Place,1025-1027,W,Vernon Park,PL,49,17-17-412-044-1001-1049,,07/30/2018,07/30/2018,41.87294177,-87.65218732,"(41.872941766438096, -87.65218731622787)",29,14917,44,87,48
2344,PB2018A02344,property manager,Townhomes of Vernon Park Place,1023,W,Vernon Park,PL,49,17-17-412-044-1001-1049,,07/30/2018,07/30/2018,41.87294389,-87.65211677,"(41.872943893690284, -87.65211677267001)",29,14917,44,87,48
2342,PB2018A02342,"Stellar Property Group, Inc",Washtenaw Corners Condominium Association,2709-2711,W,Argyle,ST,9,"13-12-412-059-1001, 13-12-412-059-1002, 13-12-412-059-1003, 13-12-412-059-1004, 13-12-412-059-1005, 13-12-412-059-1006",06/28/2018,07/29/2018,07/29/2018,41.97208291,-87.69674007,"(41.972082911671336, -87.69674007391662)",6,21849,20,28,24
2341,PB2018A02341,"Stellar Property Group, Inc",Washtenaw Corners Condominium Association,4944,N,Washtenaw,AVE,9,"13-12-412-059-1007, 13-12-412-059-1008, 13-12-412-059-1009",06/28/2018,07/29/2018,07/29/2018,41.97206163,-87.69651031,"(41.972061628739716, -87.69651031210613)",6,21849,20,28,24
2340,PB2018A02340,authorized agent,5100 Marine Drive Condo Association,5100,N,Marine,DR,300,14-08-403-028-1001-1300,06/01/1999,07/26/2018,07/26/2018,41.9753558,-87.65189745,"(41.9753558029658, -87.65189744998881)",31,22616,15,635,16
2338,PB2018A02338,Owner,,734,W,Sheridan,RD,100,14-21-100-012-0000,,07/09/2018,07/09/2018,41.95286969,-87.64934018,"(41.95286968761728, -87.64934017938488)",57,21186,53,690,39
2337,PB2018A02337,President of the Board,The Fremont Condominum Association,3810,N,Fremont,ST,3,"14-20-213-022-1001, 14-20-213-022-1002, 14-20-213-022-1003",07/02/2018,07/05/2018,07/05/2018,41.9515286,-87.65217814,"(41.95152859774313, -87.65217813637952)",57,21186,53,83,39
2335,PB2018A02335,Secretary,2846-50 N. Christiana Condo Association,2846-2850,N,Christiana,AVE,18,13-26-226-034-1001-18,,06/21/2018,06/21/2018,41.93339667,-87.71125999,"(41.93339666576404, -87.71125998944584)",22,21538,39,55,12
2334,PB2018A02334,Owner,,558,W,Webster,AVE,75,14-33-112-040-0000,,06/19/2018,06/19/2018,41.92199946,-87.64366908,"(41.92199946048264, -87.64366907774536)",68,21190,16,745,34
2333,PB2018A02333,Property Manager,916-18 W. Fullerton Condominium,916-918,W,Fullerton,AVE,10,14-29-427-061-0000,,06/19/2018,06/19/2018,41.92551413,-87.65191108,"(41.92551413291245, -87.65191108000175)",68,21190,16,769,34
2332,PB2018A02332,TREASURER,ARGYLE APARTMENT BUILDING COMPANY,1458-1464,W,ARGYLE,ST,24,14-08-310-024-0000,,06/12/2018,06/12/2018,41.97267157,-87.66693528,"(41.9726715710755, -87.66693527951774)",31,22616,15,633,18
2331,PB2018A02331,"Deborah G. Cole, President of 1400 N. Lasalle Condominium Assoc.",1400 N.  La Salle Condominium Association,1400-1402,N,La Salle,DR,8,17-04-205-05401001 - 1008,04/25/2017,06/11/2018,06/11/2018,41.90777334,-87.63319495,"(41.9077733432312, -87.63319494789086)",37,14926,54,290,46
2329,PB2018A02329,President,Albany Place Condominium Association,3100,W,diversey,AVE,7,13-25-130-040-0000,03/22/2018,06/08/2018,06/08/2018,41.93215027,-87.70504306,"(41.932150269542745, -87.70504306436882)",22,22535,39,465,20
